team,conf,barthag,adj_o,adj_d,wab,ov_cur_sos,year,season,final_four,elite_seed,made_tournament,seed_filled
Kansas,B12,0.982498,121.369,85.5065,9.9276476480053,0.7008,2008,2008,1,1,1,1.0
Memphis,CUSA,0.971452,116.963,86.0686,8.925489065997,0.6499,2008,2008,1,1,1,1.0
UCLA,P10,0.966392,116.196,86.7657,10.766958948889,0.6896,2008,2008,1,1,1,1.0
North Carolina,ACC,0.965916,122.927,91.9077,11.896896582733,0.7231,2008,2008,1,1,1,1.0
Wisconsin,B10,0.959993,112.57,85.3906,8.26890641984,0.6862,2008,2008,0,1,1,3.0
Louisville,BE,0.951439,112.087,86.5361,4.7412692436825,0.7101,2008,2008,0,1,1,3.0
Duke,ACC,0.948805,115.836,89.864,8.913860383533,0.7231,2008,2008,0,1,1,2.0
Texas,B12,0.947598,120.612,93.7695,8.4030046190974,0.7,2008,2008,0,1,1,2.0
Georgetown,BE,0.947187,112.955,87.8797,7.6637136252657,0.6884,2008,2008,0,1,1,2.0
Washington St.,P10,0.935891,113.361,89.788,4.9080800987641,0.6711,2008,2008,0,1,1,4.0
Stanford,P10,0.932028,112.796,89.8285,6.734747214975,0.6874,2008,2008,0,1,1,3.0
Marquette,BE,0.930447,114.135,91.0908,3.8495779879165,0.6589,2008,2008,0,0,1,6.0
Clemson,ACC,0.929922,113.184,90.3951,4.4027354803279,0.6965,2008,2008,0,0,1,5.0
Tennessee,SEC,0.929015,114.604,91.6395,9.1945392611432,0.6998,2008,2008,0,1,1,2.0
Davidson,SC,0.928696,114.67,91.7304,1.5092707119034,0.537,2008,2008,0,0,1,10.0
Michigan St.,B10,0.920699,114.696,92.6734,5.1085798902161,0.6987,2008,2008,0,0,1,5.0
Xavier,A10,0.920537,115.514,93.352,4.6625326979579,0.6692,2008,2008,0,1,1,3.0
Texas A&M,B12,0.915543,112.124,91.1372,3.079784780641,0.6723,2008,2008,0,0,1,9.0
West Virginia,BE,0.913785,113.807,92.6864,2.6479841309279,0.6775,2008,2008,0,0,1,7.0
Kansas St.,B12,0.911707,114.51,93.4707,1.0236764565196,0.6692,2008,2008,0,0,1,11.0
Drake,MVC,0.908115,119.278,97.7341,5.1742659953069,0.5994,2008,2008,0,0,1,5.0
Purdue,B10,0.904704,110.076,90.5103,3.808773503204,0.6558,2008,2008,0,0,1,6.0
Pittsburgh,BE,0.901547,116.223,95.8648,5.2584719779356,0.6816,2008,2008,0,1,1,4.0
Connecticut,BE,0.899225,114.878,94.9691,4.3417364199316,0.6732,2008,2008,0,1,1,4.0
Arizona,P10,0.899153,115.467,95.463,1.4960671748701,0.7381,2008,2008,0,0,1,10.0
Gonzaga,WCC,0.89687,112.64,93.3278,2.1372126338506,0.5605,2008,2008,0,0,1,7.0
Notre Dame,BE,0.89571,114.634,95.0828,4.3767778663271,0.6549,2008,2008,0,0,1,5.0
Butler,Horz,0.894635,114.239,94.85,4.7298937028633,0.59,2008,2008,0,0,1,7.0
USC,P10,0.894514,109.398,90.8402,3.6255466297608,0.718,2008,2008,0,0,1,6.0
Indiana,B10,0.892641,114.083,94.8934,4.7532137400071,0.6682,2008,2008,0,0,1,8.0
New Mexico,MWC,0.887322,109.584,91.5829,0.12964494331473,0.5593,2008,2008,0,0,0,17.0
Ohio St.,B10,0.883933,108.618,91.04,0.420361049956,0.6973,2008,2008,0,0,0,17.0
Virginia Tech,ACC,0.881341,105.366,88.5061,-0.61848882079056,0.6827,2008,2008,0,0,0,17.0
Mississippi St.,SEC,0.873414,107.764,91.1026,0.57122200708574,0.6635,2008,2008,0,0,1,8.0
BYU,MWC,0.867497,105.934,89.9655,2.5206804050297,0.5515,2008,2008,0,0,1,8.0
Nebraska,B12,0.864848,107.09,91.128,-0.15050487903528,0.6342,2008,2008,0,0,0,17.0
Miami,ACC,0.861974,111.547,95.122,1.6009898099513,0.6508,2008,2008,0,0,1,7.0
Arkansas,SEC,0.861051,110.791,94.5411,0.53688028117371,0.6845,2008,2008,0,0,1,9.0
Florida,SEC,0.854159,115.303,98.8752,-1.3432495367528,0.6059,2008,2008,0,0,0,17.0
Baylor,B12,0.850871,115.908,99.6201,1.5000137385525,0.6449,2008,2008,0,0,1,11.0
Oregon,P10,0.849656,118.033,101.531,0.78926835811431,0.7118,2008,2008,0,0,1,9.0
Illinois,B10,0.848813,106.048,91.2736,-3.9952643666567,0.7256,2008,2008,0,0,0,17.0
Syracuse,BE,0.843613,111.815,96.5723,-0.63048542293324,0.7088,2008,2008,0,0,0,17.0
UNLV,MWC,0.843441,108.847,94.0194,2.2164569674484,0.5946,2008,2008,0,0,1,8.0
Saint Mary's,WCC,0.839241,107.405,93.0284,1.2068702516874,0.5014,2008,2008,0,0,1,10.0
Villanova,BE,0.838003,107.856,93.4936,0.34324906580903,0.6979,2008,2008,0,0,1,12.0
Oklahoma,B12,0.835223,107.446,93.3025,2.8016470146396,0.7029,2008,2008,0,0,1,6.0
Western Kentucky,SB,0.828326,109.649,95.6251,0.21957840186139,0.466,2008,2008,0,0,1,12.0
Saint Joseph's,A10,0.827382,113.772,99.2777,-1.2407198643454,0.634,2008,2008,0,0,1,11.0
